age,sex,cell_type,n_actual_hf_cells,n_top100_degs,n_seeds,R2_all_HVGs,R2_top100_DEGs,r2_all_hvgs_mean,r2_all_hvgs_sd,r2_top100_degs_mean,r2_top100_degs_sd,r2_all_seed0,r2_deg_seed0,r2_all_seed1,r2_deg_seed1,r2_all_seed2,r2_deg_seed2,r2_all_seed3,r2_deg_seed3,r2_all_seed4,r2_deg_seed4
24W,Both,ECs_Artery,790,100,5,0.941 ± 0.027,0.841 ± 0.065,0.9406,0.0269,0.8405,0.0654,0.9231,0.7997,0.9708,0.8938,0.9173,0.7564,0.9228,0.838,0.9691,0.9147
24W,Both,Macrophages_M2,191,100,5,0.940 ± 0.014,0.905 ± 0.028,0.9402,0.0143,0.9054,0.0282,0.9518,0.9306,0.9407,0.8969,0.9393,0.9019,0.9171,0.8643,0.9523,0.9332
24W,Both,Adipocytes_2,567,100,5,0.939 ± 0.019,0.946 ± 0.019,0.939,0.0194,0.946,0.0186,0.906,0.9213,0.9425,0.94,0.9533,0.971,0.9529,0.9558,0.9404,0.9421
24W,Both,SMCs,78,100,5,0.935 ± 0.013,0.968 ± 0.013,0.9355,0.0134,0.9676,0.0133,0.9379,0.9717,0.9315,0.9687,0.9144,0.9446,0.9466,0.9764,0.9469,0.9768
24W,Both,Macrophages_M2_F13a1+,163,100,5,0.928 ± 0.020,0.921 ± 0.046,0.928,0.0203,0.9211,0.046,0.941,0.9569,0.9271,0.9213,0.9548,0.9753,0.9104,0.8864,0.9067,0.8658
24W,Both,Mesothelial_Cells,264,100,5,0.919 ± 0.018,0.844 ± 0.046,0.9186,0.018,0.8443,0.0462,0.8995,0.8384,0.9122,0.8218,0.9404,0.9075,0.9063,0.7858,0.9347,0.8682
24W,Both,T_Cells,93,100,5,0.918 ± 0.007,0.893 ± 0.013,0.9184,0.0068,0.8933,0.0135,0.9149,0.8937,0.9169,0.8726,0.9096,0.89,0.9252,0.9021,0.9253,0.908
24W,Both,NK_Cells,80,100,5,0.896 ± 0.020,0.896 ± 0.034,0.8956,0.0204,0.8963,0.0337,0.9114,0.929,0.8933,0.8981,0.9193,0.9212,0.8857,0.89,0.8682,0.8433
24W,Both,Adipocytes_Brown,12370,100,5,0.874 ± 0.016,0.911 ± 0.040,0.8736,0.0157,0.9111,0.0401,0.8937,0.9429,0.8568,0.8597,0.8839,0.9596,0.874,0.8939,0.8596,0.8994
24W,Both,Macrophages_M1_Cd80+,59,100,5,0.823 ± 0.011,0.793 ± 0.024,0.8225,0.0111,0.7932,0.0242,0.8307,0.7768,0.8054,0.7878,0.8265,0.8039,0.8177,0.7682,0.8322,0.8293
24W,Both,T_Regs,15,100,5,0.801 ± 0.003,0.806 ± 0.009,0.8013,0.003,0.8057,0.0085,0.8042,0.8151,0.8029,0.803,0.8032,0.8081,0.7971,0.7926,0.7991,0.8097
24W,Both,Dendritic_Cells,34,100,5,0.674 ± 0.023,0.538 ± 0.022,0.6744,0.0233,0.5385,0.0217,0.6599,0.53,0.6443,0.5056,0.7043,0.558,0.6867,0.542,0.6766,0.5568
24W,Both,Neuronal_Cells,31,100,5,0.656 ± 0.092,0.297 ± 0.183,0.6564,0.0925,0.297,0.1831,0.6561,0.195,0.7426,0.5711,0.6742,0.3248,0.5019,0.079,0.7071,0.3149
24W,Both,B_Cells_Naive,70,100,5,0.619 ± 0.061,0.642 ± 0.070,0.6189,0.0612,0.6423,0.0702,0.5173,0.5375,0.6104,0.6216,0.6367,0.6647,0.6672,0.6582,0.6629,0.7293
24W,Both,Neutrophils,18,100,5,0.456 ± 0.038,0.234 ± 0.061,0.456,0.0376,0.2341,0.0608,0.4629,0.2218,0.5075,0.3226,0.4095,0.1753,0.4691,0.2655,0.4312,0.1855
24W,Both,Monocytes,3,0,5,0.439 ± 0.015,,0.4389,0.0154,,,0.4441,,0.4454,,0.4142,,0.455,,0.4357,
