	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	celltype	group	group1	group2
LOC120102486	96.70885625631547	-0.3351223645021248	0.29423434438641644	-1.1389641314679781	0.25471811492991314	0.5352280860678036	LOC120102486	Adipocytes_Brown	diet	Control	HF
LOC120102487	13.409393641374868	-0.6196574582286529	0.6086878993587624	-1.0180216476809325	0.3086676685316121	0.5885827029423186	LOC120102487	Adipocytes_Brown	diet	Control	HF
LOC120102832	53.181495792784425	0.7400563614890717	0.35417242702249435	2.089536917683513	0.03665941831233264	0.1657888767572787	LOC120102832	Adipocytes_Brown	diet	Control	HF
LOC120102902	12.336225233719892	0.40050869648065823	0.5553508394403978	0.7211814010837418	0.47079791337725285	0.7209101706175621	LOC120102902	Adipocytes_Brown	diet	Control	HF
LOC120102992	204.7856180523161	-0.7169404483269111	0.22592452527986248	-3.173362641522897	0.0015068418351183181	0.016869503381775567	LOC120102992	Adipocytes_Brown	diet	Control	HF
LOC120103526	16.129057062821825	-0.27899464500807997	0.6437645736649562	-0.4333799286589529	0.6647387796234205	0.8466200229635409	LOC120103526	Adipocytes_Brown	diet	Control	HF
LOC288913	26.77895561017012	-0.1869731444437172	0.3887478079655991	-0.48096256908093676	0.6305431019944616	0.826650282916242	LOC288913	Adipocytes_Brown	diet	Control	HF
LOC291863	20.61864801622376	1.1050173606861977	0.5412037596085474	2.041776948270752	0.04117366186009328	0.1790066988446047	LOC291863	Adipocytes_Brown	diet	Control	HF
LOC302022	8.494805599298214	-0.20272126650732727	0.8563536369186852	-0.2367261114657666	0.8128692766190824	0.9229603642606543	LOC302022	Adipocytes_Brown	diet	Control	HF
LOC304239	10.961828105131644	-3.1473356856880916	0.8515843573328978	-3.6958589699150006	0.00021914460221431273	0.00372574965333775	LOC304239	Adipocytes_Brown	diet	Control	HF
LOC304725	9.461753507697887	0.5341659388911455	0.6701000621911499	0.7971435447185073	0.4253676692380759	0.6900095228283637	LOC304725	Adipocytes_Brown	diet	Control	HF
LOC304725-1	7.392109940783779	0.11231965076141744	0.6710691390902566	0.16737418578610994	0.8670756354052581	0.9443361443612084	LOC304725-1	Adipocytes_Brown	diet	Control	HF
LOC306766	142.52480494836064	-0.2801237437076349	0.2500143422072463	-1.1204306970334916	0.2625302698523573	0.5422373990407735	LOC306766	Adipocytes_Brown	diet	Control	HF
LOC314140	32.5175922629777	-0.12130330292641216	0.3733526922924327	-0.32490271378945884	0.7452547029202314	0.8896341771975876	LOC314140	Adipocytes_Brown	diet	Control	HF
LOC361346	10.41388113679263	0.13264740852386583	0.6384986341499157	0.2077489307404235	0.8354250098753258	0.9319351497474949	LOC361346	Adipocytes_Brown	diet	Control	HF
LOC497940	23.276244849032366	0.2522207732373431	0.4224647739584446	0.5970220212067967	0.5504926783138258	0.7757135338082511	LOC497940	Adipocytes_Brown	diet	Control	HF
