gene_id,gene_id,celltype,group,sub_id,sub_id_2,log2FoldChange_Control,lfcSE_Control,log2FoldChange_HF,lfcSE_HF,log2FC_diff,se_delta,z,pval,padj_diff
Shank3,Shank3,Adipocytes_Brown,time,Control,F,2.56871848604598,1.701757603967956,0.6039233807157858,0.5572527879127606,-1.9647951053301942,1.7906729495637395,-1.0972383906334633,0.2725371950283966,0.9999939767421606
Abca8,Abca8,Adipocytes_Brown,time,Control,F,2.278548992821824,0.6187864186660611,0.3204750390497757,0.3556020542113836,-1.9580739537720484,0.7136872234283906,-2.7436023645847376,0.006076909832050337,0.9999939767421606
Rapgef5,Rapgef5,Adipocytes_Brown,time,Control,F,3.176606357736113,1.0096308092692194,1.221823422883558,0.5471602866696565,-1.9547829348525552,1.1483635096667082,-1.7022335857919202,0.08871158913419319,0.9999939767421606
Abca8a,Abca8a,Adipocytes_Brown,time,Control,F,2.148344008430656,0.3395181786081586,-0.1958955623988297,0.2617356488893992,-1.9524484460318263,0.4286935309809985,-4.55441546216933,5.253144449879343e-06,0.026060849615851422
Gabre,Gabre,Adipocytes_Brown,time,Control,F,1.9810368074532432,0.5132230404562345,0.031582747277781,0.4761496879697305,-1.9494540601754622,0.700083148353689,-2.7846036070997933,0.005359319614977265,0.9999939767421606
LOC108352225,LOC108352225,Adipocytes_Brown,time,Control,F,2.1194834531105124,1.028626565094942,0.1743028781896757,0.7168937612877364,-1.9451805749208368,1.2537979404163564,-1.5514306669501219,0.1207985107525893,0.9999939767421606
Dbp,Dbp,Adipocytes_Brown,time,Control,F,1.9652738030971333,0.7035674465017142,-0.0368683064584805,0.6930078538016305,-1.9284054966386528,0.9875560931955636,-1.9527047728485585,0.05085458782261498,0.9999939767421606
Pde8b,Pde8b,Adipocytes_Brown,time,Control,F,2.46618328152503,0.4031365219655721,0.6159616003248356,0.3251657044662942,-1.8502216812001944,0.5179302952169912,-3.5723372397535247,0.0003538093791659591,0.6300748656201244
Syne1,Syne1,Adipocytes_Brown,time,Control,F,2.5160378694358707,0.8024724131355476,0.6685713248474665,0.4288921228091494,-1.8474665445884042,0.9098958329673389,-2.0304154361972113,0.042314328911085886,0.9999939767421606
Cpt1a,Cpt1a,Adipocytes_Brown,time,Control,F,2.183476223295882,0.9973615256927536,0.3848725318560834,0.5584937493771304,-1.7986036914397987,1.1430858589911355,-1.5734633381146104,0.11561157097797459,0.9999939767421606
Chst13,Chst13,Adipocytes_Brown,time,Control,F,2.049776173237265,0.4056918937929562,0.2513948617985832,0.4004240954267697,-1.7983813114386817,0.5700222529758483,-3.1549317628392286,0.0016053564748164106,0.8670831041194413
