gene_id,gene_id,celltype,group,sub_id,sub_id_2,log2FoldChange_Control,lfcSE_Control,log2FoldChange_HF,lfcSE_HF,log2FC_diff,se_delta,z,pval,padj_diff
Kpna2,Kpna2,Adipocytes_Brown,time,Control,M,-0.5744851256131184,0.4595153883105284,-1.6414238674723347,0.5028064194099209,1.0669387418592162,0.68115247007847,1.5663728588348258,0.11726135310532504,0.9999570852014581
Oprd1,Oprd1,Adipocytes_Brown,time,Control,M,-0.3890077880035778,0.9016358152866656,-1.4636159334659364,0.8187145385245518,1.0746081454623586,1.2178836721949762,0.8823569688931013,0.37758379807069486,0.9999570852014581
Obscn,Obscn,Adipocytes_Brown,time,Control,M,-0.5460956336430834,0.8063817820891398,-1.6252741581408248,0.7317935598753342,1.0791785244977414,1.088932225971971,0.9910428755421179,0.32166464472246203,0.9999570852014581
Llph-ps1,Llph-ps1,Adipocytes_Brown,time,Control,M,0.1712089133471031,0.5688597572389053,-1.252513704738345,0.4273636277553326,1.081304791391242,0.7115062148246526,1.5197404729032824,0.12857621526088714,0.9999570852014581
Or2k2,Or2k2,Adipocytes_Brown,time,Control,M,-0.7708701975567974,0.7768129903394387,-1.8632124930910616,0.934904045800148,1.092342295534264,1.2155179952652229,0.8986640261923213,0.36883164392643364,0.9999570852014581
Smg8,Smg8,Adipocytes_Brown,time,Control,M,0.1467144478705163,0.508199964688521,-1.2459405579928575,0.472359711070541,1.0992261101223413,0.6938233930562293,1.5843024624470352,0.11312490571636591,0.9999570852014581
Zfp536,Zfp536,Adipocytes_Brown,time,Control,M,-0.5492230808301422,0.9004295185867678,-1.653474728124139,0.8152750668539165,1.104251647293997,1.214679691349146,0.9090887541451389,0.363303278294961,0.9999570852014581
Mlip,Mlip,Adipocytes_Brown,time,Control,M,0.4417157247238083,0.8932596614107617,-1.5476270117069617,0.8536019501312301,1.1059112869831533,1.23553596142383,0.8950862795678587,0.3707409678082769,0.9999570852014581
Acp5,Acp5,Adipocytes_Brown,time,Control,M,-0.1145418235270362,0.3453745987751116,-1.2290090760503436,0.5118369117346105,1.1144672525233075,0.6174630658534103,1.8049132234054777,0.07108826221339948,0.9999570852014581
Adgrv1,Adgrv1,Adipocytes_Brown,time,Control,M,-1.258336703759093,0.4414106227418518,-2.376062758692678,0.6914962270380176,1.1177260549335852,0.8203720923319875,1.3624623087266903,0.17305203132354485,0.9999570852014581
Ddx28,Ddx28,Adipocytes_Brown,time,Control,M,-0.312161401153132,0.8011245290456661,-1.4373175562203842,0.7338557003378858,1.1251561550672522,1.08643669855038,1.0356389438690126,0.3003706164587787,0.9999570852014581
Fkbp5,Fkbp5,Adipocytes_Brown,time,Control,M,0.5254679501889103,0.4611266759994873,-1.6506618775000603,0.6563031505187373,1.12519392731115,0.8021045048490605,1.402802154219154,0.16067584445149885,0.9999570852014581
Gbx2,Gbx2,Adipocytes_Brown,time,Control,M,-0.1709113905844228,0.8180873921153118,-1.302928772047753,1.541021977641974,1.13201738146333,1.7447107831138124,0.6488280994303257,0.5164494928065073,0.9999570852014581
Mad2l1bp,Mad2l1bp,Adipocytes_Brown,time,Control,M,-0.0428294702607801,0.6367639023743626,-1.1795135326806037,0.6798231909659587,1.1366840624198236,0.9314654251995429,1.220318040442905,0.22234433350490823,0.9999570852014581
Tars2,Tars2,Adipocytes_Brown,time,Control,M,0.2789526547402464,0.7884701469853416,-1.4309804580211485,0.6043063908443083,1.1520278032809022,0.9934140056906586,1.1596653526944884,0.24618508178206122,0.9999570852014581
LOC100363469,LOC100363469,Adipocytes_Brown,time,Control,M,-0.4566089446578364,0.5208245353425691,-1.6086637328010374,0.4826366998759934,1.152054788143201,0.7100678704757686,1.6224572833738933,0.10470547236113426,0.9999570852014581
Kif11,Kif11,Adipocytes_Brown,time,Control,M,0.1252218283667007,0.814068672747653,-1.291639316686066,0.7292842024716962,1.1664174883193654,1.0929607732777529,1.0672089217084326,0.28587750471582485,0.9999570852014581
Cptp,Cptp,Adipocytes_Brown,time,Control,M,-0.2163397404997435,0.6085967355525336,-1.3875221937138988,0.7343036418531963,1.1711824532141553,0.9537252355705325,1.2280082454917287,0.21944387269854992,0.9999570852014581
Pard6b,Pard6b,Adipocytes_Brown,time,Control,M,-0.252749932713571,0.787313283727747,-1.4253767483293536,0.5945788097471167,1.1726268156157826,0.9866033487346705,1.1885493974044272,0.23461703051888283,0.9999570852014581
Hspa5,Hspa5,Adipocytes_Brown,time,Control,M,-0.2226247429143774,0.2514899933854485,-1.397702714678474,0.3558564266648198,1.1750779717640967,0.4357533857259943,2.6966582710684808,0.00700391050627025,0.9999570852014581
Sh3glb2,Sh3glb2,Adipocytes_Brown,time,Control,M,-0.1506279671446412,0.3217186214066144,-1.339617454272901,0.360155378417085,1.1889894871282598,0.48292314912677997,2.462067700167587,0.013813858914621502,0.9999570852014581
Arhgap33,Arhgap33,Adipocytes_Brown,time,Control,M,0.0135353231828462,0.641756920340761,-1.213451637544598,0.4621485807119949,1.199916314361752,0.7908433823832435,1.5172616235919534,0.12920064324737202,0.9999570852014581
Gnb4,Gnb4,Adipocytes_Brown,time,Control,M,-1.300264655966823,0.8785177809704855,-2.512330602156128,0.7838277570851988,1.212065946189305,1.1773612208063078,1.029476701601595,0.3032557224533601,0.9999570852014581
Grip1,Grip1,Adipocytes_Brown,time,Control,M,0.513825229203187,0.8765780455421488,-1.737624006808852,0.9207497236471928,1.2237987776056651,1.2712864049941206,0.9626460039201984,0.33572520260027394,0.9999570852014581
Agbl1,Agbl1,Adipocytes_Brown,time,Control,M,-0.6169081969510042,0.6826442673779908,-1.8415466542516417,0.926908027182852,1.2246384573006375,1.1511566733681566,1.0638330000011913,0.28740435906507633,0.9999570852014581
Klf16,Klf16,Adipocytes_Brown,time,Control,M,-0.0073736153926523,0.7584379335504734,-1.2478417262902093,0.7091722365882139,1.240468110897557,1.038341639440431,1.1946627812846389,0.23221880952098295,0.9999570852014581
Selenow,Selenow,Adipocytes_Brown,time,Control,M,0.1781876609152302,0.9025011879140682,-1.4187700757107409,0.8272445694487095,1.2405824147955107,1.2242720171059556,1.0133225275605915,0.31090613062447336,0.9999570852014581
Idi1,Idi1,Adipocytes_Brown,time,Control,M,-0.0276285315260123,0.5035580916775224,-1.2837071045732995,0.8376301109845941,1.2560785730472872,0.9773407566053773,1.2852002380521377,0.19872232047896743,0.9999570852014581
Sertad1,Sertad1,Adipocytes_Brown,time,Control,M,-0.9673313886865796,0.7831722990748713,-2.2236090789580394,0.6294199325747898,1.2562776902714599,1.004752855960446,1.2503350279811651,0.21117718785026574,0.9999570852014581
Arl9,Arl9,Adipocytes_Brown,time,Control,M,-1.2227686408681184,0.7667482316072447,-2.486249654867601,0.7049736557832943,1.2634810139994825,1.0415808686901367,1.2130416869007985,0.22511388283780231,0.9999570852014581
Cenpl,Cenpl,Adipocytes_Brown,time,Control,M,-0.0616038814764351,0.5170461338689809,-1.32943122497019,0.5958607113416189,1.267827343493755,0.7889148825249782,1.607052131449192,0.10804293274377574,0.9999570852014581
Hsp90aa1,Hsp90aa1,Adipocytes_Brown,time,Control,M,-0.3634922590632796,0.4531200343106358,-1.6330576669814536,0.4402564606643895,1.269565407918174,0.6317780596462708,2.0095117083188945,0.04448289426354535,0.9999570852014581
LOC108352225,LOC108352225,Adipocytes_Brown,time,Control,M,-0.9513298499531204,1.0379747769264835,-2.23075194587583,0.9556935565987088,1.2794220959227094,1.4109365016399116,0.9067892810453589,0.36451823930826244,0.9999570852014581
Dpysl2,Dpysl2,Adipocytes_Brown,time,Control,M,-0.1093937873489838,0.5942338146977636,-1.432208505825506,0.6062978432002121,1.3228147184765222,0.8489469366217685,1.5581830399676395,0.11918986421493583,0.9999570852014581
Crybg1,Crybg1,Adipocytes_Brown,time,Control,M,-0.0868924378637459,0.6666289960328493,-1.41090078635309,0.3269867160729789,1.3240083484893441,0.7425055763022629,1.783162835063154,0.07455980035575682,0.9999570852014581
Hoxb2,Hoxb2,Adipocytes_Brown,time,Control,M,-1.56288476457962,0.7740898634140494,-2.89082152615785,0.9108898251158573,1.32793676157823,1.1953808556857428,1.1108901027333629,0.26661565615751437,0.9999570852014581
Kctd7,Kctd7,Adipocytes_Brown,time,Control,M,0.0943031104076366,0.8523324379526939,-1.432117880976599,0.7849520018402374,1.3378147705689625,1.1587149045297462,1.1545676726337635,0.2482675112979318,0.9999570852014581
Hspa8,Hspa8,Adipocytes_Brown,time,Control,M,-0.3623610143358202,0.5101503968868355,-1.7081566212729236,0.4766123859166134,1.3457956069371033,0.6981495497763517,1.9276609250385128,0.053897315394966894,0.9999570852014581
Sertad3,Sertad3,Adipocytes_Brown,time,Control,M,-0.1572604404266476,0.685529384349547,-1.5194857698839712,0.5791633535129453,1.3622253294573237,0.8974300679490463,1.5179180842140751,0.12903505042483787,0.9999570852014581
ENSRNOG00000068838,ENSRNOG00000068838,Adipocytes_Brown,time,Control,M,-0.1606201372743421,0.7750936476789136,-1.5322766823443936,0.7861488020163521,1.3716565450700515,1.1039927996069312,1.2424506260896087,0.21407034661937052,0.9999570852014581
Slc39a4,Slc39a4,Adipocytes_Brown,time,Control,M,0.1376653530699016,0.7342746497610735,-1.510185698019514,0.4859630361212824,1.3725203449496124,0.8805221937906857,1.5587572404516614,0.11905384819279474,0.9999570852014581
Ankrd37,Ankrd37,Adipocytes_Brown,time,Control,M,0.1334629021064001,0.8892245445897963,-1.5516868419910728,0.7302060039066193,1.4182239398846725,1.1506177031673919,1.2325761510366309,0.21773393926514695,0.9999570852014581
ENSRNOG00000066335,ENSRNOG00000066335,Adipocytes_Brown,time,Control,M,-0.1700257946829488,0.7637175673494991,-1.594367935169983,0.6831420811745542,1.4243421404870342,1.0246695202599412,1.3900502672566106,0.16451361365298567,0.9999570852014581
Gata6,Gata6,Adipocytes_Brown,time,Control,M,-0.1201810933472877,0.6104572618749434,-1.545489571727279,0.7229229950112591,1.4253084783799912,0.9461901105443358,1.506365858717359,0.13197328005258901,0.9999570852014581
